Time (min),Mean Intensity (A.U.),Protein Concentration (ng per µL),Protein Concentration (nM),Number of Protein Molecules,Rate of Change of Number of Protein Molecules (PM per min)
47.0,19.432311534881600,0.7089416391422790,7.2563115572393,8707573868.687160,531874985.00131200
47.5,20.002513647079500,0.7297441061744870,7.469233430649820,8963080116.779780,475287148.0399250
48.0,20.49298906326290,0.7476379344451960,7.652384180605900,9182861016.727080,507506711.7625140
48.5,21.135094165802000,0.7710636109571510,7.892155690451910,9470586828.54229,473067868.44786800
49.0,21.54871392250060,0.7861535434013270,8.046607404312460,9655928885.17495,495267715.4660970
49.5,22.24036145210270,0.8113866574580160,8.304878786673660,9965854544.008390,562214790.1708720
50.0,22.80338406562810,0.8319271975677390,8.515119729454850,10218143675.345800,554990940.5499400
50.5,23.478910446167000,0.8565721698677900,8.76737123713194,10520845484.558300,605404793.6079660
51.0,24.154439449310300,0.8812172378473210,9.01962372412816,10823548468.953800,601858411.9559080
51.5,24.822051525116000,0.9055734755745340,9.268919913761870,11122703896.514200,543391457.450367
52.0,25.36710238456730,0.9254583590080720,9.472449938670130,11366939926.404200,503938963.1476520
52.5,25.946670055389400,0.9466025061574720,9.688869049718240,11626642859.661900,503489295.4153580
53.0,26.49071741104130,0.9664507791431390,9.892024351516260,11870429221.819500,629367735.5623000
53.5,27.351202487945600,0.9978435292945030,10.213342162686800,12256010595.224200,632917749.598032
54.0,27.903172254562400,1.0179808325895800,10.419455809514600,12503346971.417500,501455053.72122
54.5,28.470277786254900,1.0386703282516400,10.631221374121200,12757465648.945400,595096516.0708830
55.0,29.231223106384300,1.066431607273020,10.915369572907000,13098443487.488400,693124829.5546530
55.5,30.017094135284400,1.0951022414578800,11.20882539875010,13450590478.50010,606991397.4312740
56.0,30.585819244384800,1.1158508235472100,11.42119573743310,13705434884.9197,547602031.1413120
56.5,31.239153623580900,1.1396861734933000,11.665160424701100,13998192509.64140,652206668.4381160
57.0,32.04132032394410,1.1689513164692200,11.964701294464800,14357641553.357800,706334954.3106860
57.5,32.81545042991640,1.19719361102343,12.253772886626700,14704527463.952100,605033328.9595450
58.0,33.39154672622680,1.2182111133353400,12.468895735264500,14962674882.317400,687580102.7059800
58.5,34.34989285469060,1.2531740910520800,12.826756305548400,15392107566.658000,741274639.2335490
59.0,35.04581689834600,1.27856322354627,13.086624601292400,15703949521.55090,599672678.495472
59.5,35.68815612792970,1.301997441626250,13.32648353762790,15991780245.15350,679007784.062233
60.0,36.56112885475160,1.3338457739653400,13.652464421344300,16382957305.613100,725992132.7547670
60.5,37.30832099914550,1.3611053011013700,13.93147698159020,16717772377.908300,662590691.8583580
61.0,38.03980350494390,1.3877916994608000,14.204623331226300,17045547997.471500,730050787.3401410
61.5,38.9375433921814,1.4205436027039800,14.539852637707000,17447823165.248400,662348924.674181
62.0,39.5179386138916,1.4417179410780300,14.756580768454700,17707896922.145700,759302052.5894510
62.5,40.632044553756700,1.4823634448189700,15.172604348198200,18207125217.837900,827182970.4037440
63.0,41.36392664909360,1.5090644212517300,15.445899910457900,18535079892.549400,736452970.4063000
63.5,42.27555441856380,1.5423229908262100,15.786315156870100,18943578188.244200,770494281.3778990
64.0,43.08340501785280,1.5717954973272500,16.087978478272800,19305574173.927300,748516864.4424970
64.5,43.9459867477417,1.6032647388729100,16.410079210572200,19692095052.686700,741636702.4183270
65.0,44.7384831905365,1.6321770855158100,16.706009063621400,20047210876.345700,848841485.419239
65.5,45.840309143066400,1.6723745831441200,17.117447115088300,20540936538.105900,901602178.8372770
66.0,46.75054931640630,1.7055825295761400,17.45734421265240,20948813055.18290,754511365.8582760
66.5,47.52411913871770,1.7338043835144200,17.74620658663680,21295447903.96420,834173813.2952580
67.0,48.612138509750400,1.773498180875270,18.152489057065200,21782986868.478200,933162892.2616810
67.5,49.60661792755130,1.809779395659390,18.52384233018820,22228610796.22590,857316477.5474010
68.0,50.52537417411800,1.8432980307555800,18.86691945502130,22640303346.02560,876891500.0194890
68.5,51.56353831291200,1.8811729786193100,19.254585246871100,23105502296.24540,873695109.2182200
69.0,52.47516131401060,1.9144313742311000,19.59499871270320,23513998455.24380,846936086.5108340
69.5,53.45360851287840,1.9501276916627300,19.960365318963500,23952438382.756200,927609725.4627080
70.0,54.54526734352110,1.9899542660458600,20.36800681725540,24441608180.706500,981588442.595623
70.5,55.6441764831543,2.030045350697390,20.778355687793200,24934026825.351800,889704092.4324720
71.0,56.53078103065490,2.0623910075714000,21.10942689428250,25331312273.13900,1021776067.253750
71.5,57.924429416656500,2.1132349521729700,21.629835743838000,25955802892.605600,1133574213.084300
72.0,59.06052899360660,2.154682841420010,22.05407207185270,26464886486.22330,1011143866.5605000
72.5,60.180954933166500,2.1955589153087700,22.472455632638400,26966946759.16610,1033154295.4534400
73.0,61.36617422103880,2.2387988203081800,22.91503398473060,27498040781.67670,1084869076.0420300
73.5,62.602009773254400,2.2838853392498600,23.376513196006700,28051815835.208100,1092943117.1130900
74.0,63.80524754524230,2.327782605759810,23.825819915658200,28590983898.789800,994812883.2167360
74.5,64.82209014892580,2.36487968815842,24.20552393202070,29046628718.424800,1074578533.0840800
75.0,66.20333743095400,2.415271207995070,24.72130202656160,29665562431.873900,1221066370.3726400
75.5,67.54709053039550,2.4642948418129300,25.223079240664600,30267695088.797500,1202577003.280840
76.0,68.8870759010315,2.513181019012180,25.723449529295600,30868139435.154700,1204597997.4580200
76.5,70.23533916473390,2.5623691954393,26.2269109052129,31472293086.255500,1202511940.879070
77.0,71.57066917419430,2.61108553286542,26.725542813361500,32070651376.033800,1126623646.917690
77.5,72.74957585334780,2.654095137359180,27.16576394431100,32598916733.17320,1233247569.0346500
78.0,74.32285380363460,2.7114924391109900,27.7532491208904,33303898945.06850,1337196881.582140
78.5,75.7337396144867,2.7629652501346600,28.280094678962800,33936113614.755300,1176347988.0859000
79.0,76.94805812835690,2.8072667711409900,28.73353911096200,34480246933.15440,1275628298.7554000
79.5,78.58050346374510,2.8668226541250000,29.34311826125890,35211741913.510700,1247622406.9333600
80.0,79.73232245445250,2.9088440287721400,29.773224450073100,35727869340.08770,1265707831.5932800
80.5,81.40512824058530,2.9698723667472200,30.397874787586700,36477449745.10400,1359462645.6806300
81.0,82.76617574691770,3.019526945841310,30.906109988140300,37087331985.768400,1326431671.5454300
81.5,84.36526775360110,3.0778660120055400,31.503234513874500,37803881416.649400,1239961068.748930
82.0,85.53334259986880,3.1204804428552800,31.93941087876440,38327293054.517300,1289530713.1064100
82.5,87.24305701255800,3.182855304230950,32.57784344146320,39093412129.75580,1467584391.8904500
83.0,88.8084864616394,3.2399662720950300,33.16239787200650,39794877446.407700,1397813673.0506100
83.5,90.36249661445620,3.296660634111820,33.74268816900540,40491225802.80640,1389382803.7006600
84.0,91.9091112613678,3.3530851886963300,34.32021687509030,41184260250.108400,1358418442.2082100
84.5,93.39401960372930,3.407258535614940,34.874703537512200,41849644245.01460,1380044158.9358000
85.0,94.98889541625980,3.465443783969680,35.470253674203500,42564304409.044200,1470654076.602270
85.5,96.6760139465332,3.5269942883516400,36.10024860134740,43320298321.616900,1456398252.6864000
86.0,98.23907566070560,3.584018875042570,36.68391888477550,44020702661.730600,1424486586.897870
86.5,99.85497832298280,3.642971237968250,37.28732075709570,44744784908.51480,1484472839.2938800
87.0,101.55190873146100,3.704879705375080,37.92097958418710,45505175501.02450,1460355627.8680900
87.5,103.11399006843600,3.7618685253371700,38.50428378031910,46205140536.382900,1434324684.4183700
88.0,104.75282835960400,3.8216576400981400,39.11625015453570,46939500185.442900,1475612814.495930
88.5,106.40705060958900,3.882008001984050,39.73396112573230,47680753350.87880,1545995162.6461500
89.0,108.20295810699500,3.9475274129235800,40.40457945674090,48485495348.089000,1600826848.9343400
89.5,109.9795458316800,4.012341987934790,41.06798349984430,49281580199.81310,1557436102.8816800
90.0,111.67862010002100,4.07432866896653,41.7024428758089,50042931450.97070,1523596068.69973
90.5,113.37968850135800,4.136388101194760,42.33764689042740,50805176268.51290,1638347235.6251700
91.0,115.3348479270940,4.207717439733680,43.067732238829900,51681278686.595900,1698126548.9863800
91.5,117.16932320594800,4.274643904391400,43.75275234791600,52503302817.499200,1597064233.6186700
92.0,118.8989462852480,4.337745086087470,44.39861910017880,53278342920.21450,1606075963.8525700
92.5,120.75353264808700,4.4054052557817300,45.09114898445990,54109378781.351800,1697077324.277690
93.0,122.68623948097200,4.475915464905740,45.81285020374350,54975420244.49220,1714054765.0812100
93.5,124.5787136554720,4.544957881238760,46.51952795536080,55823433546.43300,1719858139.0146700
94.0,126.52437162399300,4.6159405817238500,47.246065319589100,56695278383.50690,1715373427.190900
94.5,128.4068374633790,4.684617867769210,47.94900581135330,57538806973.62390,1721992271.2599300
95.0,130.36726641655000,4.7561394524756000,48.68105887897240,58417270654.76680,1606419544.6145200
95.5,131.99181365966800,4.815407192359910,49.28768876519870,59145226518.23840,1678969464.306820
96.0,134.11414909362800,4.892835549694580,50.08020009922800,60096240119.07360,1862365738.4713700
96.5,136.14797377586400,4.967034802900460,50.83966021392480,61007592256.709800,1794909809.5473100
97.0,138.11977076530500,5.038971123355220,51.57595827385080,61891149928.62090,1691172029.9316200
97.5,139.9220883846280,5.10472439233739,52.248970238867900,62698764286.64140,1754458196.0636900
98.0,142.03511834144600,5.18181326148474,53.03800677057050,63645608124.68460,1852214721.7805400
98.5,144.05559492111200,5.25552554093569,53.79248250701830,64550979008.422000,1726070262.9466500
99.0,145.88711380958600,5.322344148726310,54.47639865635940,65371678387.63130,1779344511.3157800
99.5,148.0264801979070,5.4003938398986500,55.27526959978150,66330323519.737800,1880706498.336850
100.0,150.08420419693000,5.475465002799240,56.043654071640100,67252384885.968100,1844656479.191660
100.5,152.14311933517500,5.550579621579500,56.81248333244120,68174979998.92940,1851386217.7976500
101.0,154.21586179733300,5.626198697364930,57.58647591980480,69103771103.76580,1751519277.1642900
101.5,156.0519082546230,5.693182482728630,58.27208273007810,69926499276.0937,1898362340.2095200
102.0,158.45235395431500,5.780757031230320,59.16844453664610,71002133443.9753,3441384289.9809100
102.5,163.73189496994000,5.9733685203379100,61.13990297172890,73367883566.07460,3326213689.575590
103.0,165.875319480896,6.051566262456600,61.94028927795910,74328347133.55090,1962150416.2979600
103.5,168.11074018478400,6.133120266731500,62.775028318643800,75330033982.37260,583448102.6264950
104.0,167.1773750782010,6.0990686621454400,62.4264960301478,74911795236.17740,335530545.044754
104.5,168.8595290184020,6.160438045273890,63.054637106181100,75665564527.41730,1893239397.206670
105.0,171.40243458747900,6.253209903068020,64.00419552782000,76805034633.38410,2185394580.411970
