Time (min),Mean Intensity,Protein Concentration (microgram / milliliter),Number of Protein Molecules,Rate of Change of Protein Molecules
154.0,103.4678418636322,3.774777965948483,63717.82448472748,349.65790693416784
154.5,103.96012234687805,3.7927376477950614,63933.340666886426,324.45760224058176
155.0,104.20896553993225,3.8018160994685313,64042.28208696806,305.47747265740327
155.5,104.6578917503357,3.8181941038498457,64238.81813954383,362.70020285095234
156.0,105.03744268417358,3.832041116372777,64404.98228981901,395.53280738548347
156.5,105.5613648891449,3.851155171131969,64634.35094692931,386.2498799675159
157.0,105.91971182823181,3.864228606370071,64791.232169786526,293.78436177035474
157.5,106.23242497444153,3.8756372012794986,64928.13530869967,486.15376440012915
158.0,107.03018069267273,3.904741420070081,65277.385934186656,498.26887397780956
158.5,107.37056708335876,3.9171596074443165,65426.40418267748,293.98382738940563
159.0,107.70169639587402,3.9292400723525307,65571.36976157606,327.75082031835336
159.5,108.11921310424805,3.944472175804179,65754.15500299583,429.4561579791625
160.0,108.68265700340271,3.965028085517462,66000.82591955522,292.72419835189066
160.5,108.78785157203674,3.9688658590001693,66046.87920134772,291.8012914949504
161.0,109.34918737411499,3.9893448598087073,66292.62721105017,410.0774102907453
161.5,109.72454738616943,4.003038976524399,66456.95661163847,454.9551914020558
162.0,110.38839268684387,4.027257792425546,66747.58240245223,538.8504725250095
162.5,110.95538568496704,4.047943182568149,66995.80708416348,345.84436645401
163.0,111.17836785316467,4.056078156296714,67093.42676890624,223.2838597643713
163.5,111.46540904045105,4.066550170881847,67219.09094392785,377.208273591561
164.0,112.0399842262268,4.087512179096009,67470.6350424978,422.8941461851646
164.5,112.43138074874878,4.101791349730611,67641.98509011301,372.9852597343561
165.0,112.89195442199707,4.118594284073872,67843.62030223216,346.1842199629755
165.5,113.22213220596313,4.130640034727525,67988.16931007599,392.8351679693005
166.0,113.7892656326294,4.151330548071314,68236.45547020146,482.0598656505899
166.5,114.32324981689453,4.170811690198407,68470.22917572658,429.9308673645428
167.0,114.77131056785583,4.187158120351693,68666.386337566,374.09750758187147
167.5,115.1777606010437,4.201986482496897,68844.32668330845,393.4255277502234
168.0,115.66997027397156,4.219943580997546,69059.81186531622,387.34219169088465
168.5,116.06252479553223,4.234264998471138,69231.66887499933,297.97637547639897
169.0,116.35060572624207,4.244774945620579,69357.78824079262,387.7628334725596
169.5,116.94824981689453,4.2665785679271835,69619.4317084719,469.4150396853074
170.0,117.4228401184082,4.283892865594353,69827.20328047793,435.17229359486373
170.5,117.94226717948914,4.302842925726756,70054.60400206676,405.9151442045113
171.0,118.35002851486206,4.317719127611397,70233.11842468244,321.27408503441256
171.5,118.67611908912659,4.32961576614629,70375.87808710117,354.22077430030913
172.0,119.15913701057434,4.347237525469755,70587.33919898275,398.8302005677833
172.5,119.58712410926819,4.3628516161936055,70774.70828766895,352.40857017789676
173.0,119.96410608291626,4.3766049063179135,70939.74776916065,399.3139908055018
173.5,120.49923419952393,4.396127782094064,71174.02227847445,323.11916810501134
174.0,120.70217251777649,4.403531503659998,71262.86693726566,295.5661920072889
174.5,121.1743643283844,4.420758298094672,71469.58847048174,472.44606119843957
175.0,121.78133034706116,4.442902008759868,71735.3129984641,496.38945067243185
175.5,122.30821347236633,4.462124085650707,71965.97792115418,372.6816252572171
176.0,122.63260698318481,4.4739588108646355,72107.99462372132,342.10378592555935
176.5,123.08964443206787,4.490632734477838,72308.08170707973,304.2253588080639
177.0,123.32751631736755,4.499310924098641,72412.21998252938,393.0380780495907
177.5,123.98741912841797,4.5233859076486365,72701.11978512933,482.40817374622566
178.0,124.42942953109741,4.5395116052441615,72894.6281562756,328.58949444134487
178.5,124.73798084259033,4.550768365518749,73029.70927957067,376.5952638685558
179.0,125.28964567184448,4.570894543899872,73271.22342014416,477.0011002435931
179.5,125.82754325866699,4.5905184572057145,73506.71037981426,354.1907135476649
180.0,126.09868550300598,4.600410436695512,73625.41413369183,411.7904556805006
180.5,126.7681519985199,4.624834328512424,73918.50083549476,336.86006338773586
181.0,126.86813879013062,4.628482108644491,73962.27419707956,318.6275906487572
181.5,127.49595880508423,4.651386627733153,74237.12842614352,505.5805257906759
182.0,128.02298212051392,4.6706138191270465,74467.85472287024,429.0683951457031
182.5,128.47603368759155,4.68714232732863,74666.19682128922,429.25042970333016
183.0,129.0034728050232,4.70638468826899,74897.10515257357,329.16043998619716
183.5,129.2278995513916,4.7145723639941455,74995.35726127542,340.6028358460753
184.0,129.78147530555725,4.7347682579228305,75237.70798841964,394.6702307890373
184.5,130.1294023990631,4.747461549893231,75390.02749206446,394.11692506083637
185.0,130.68171429634094,4.7676113350112335,75631.82491348048,375.1183206401038
185.5,130.9862449169159,4.778721409946574,75765.14581270456,394.2364374280878
186.0,131.5822262763977,4.800464371463573,76026.06135090857,391.36834936936793
186.5,131.8802056312561,4.811335439060688,76156.51416207393,332.24897356423025
187.0,132.34114694595337,4.828151785927259,76358.3103244728,438.3178173497872
