Time (min),Mean Intensity (A.U.),Protein Concentration (ng per µL),Protein Concentration (nM),Number of Protein Molecules,Rate of Change of Number of Protein Molecules (PM per min)
483.0,45.47588872909550,1.659079571629220,21.21585129960640,25459021559.527600,61872744.50236190
486.0,45.75890922546390,1.669404900875100,21.347888757993600,25617466509.592400,52817919.809511200
489.0,46.04196119308470,1.6797313782747400,21.47994089865390,25775929078.384700,63069527.716604900
492.0,46.434852600097700,1.6940650862123000,21.663236396576700,25995883675.892000,77431949.59744960
495.0,46.871832847595200,1.7100072705673400,21.867100646641200,26240520775.96940,80154532.41573910
498.0,47.29390335083010,1.7254055083868500,22.06400905865540,26476810870.38640,60603684.46253140
501.0,47.52134871482850,1.7337033111921900,22.170119068953800,26604142882.74460,61238892.98142430
504.0,47.95022702217100,1.7493499155425900,22.3702035235625,26844244228.275000,71054125.93906660
507.0,48.28286647796630,1.7614854744343600,22.525389698649200,27030467638.37900,67502550.84450910
510.0,48.673681020736700,1.7757434129227900,22.707716277785000,27249259533.34200,57954290.55042390
513.0,48.903987646102900,1.7841456020395800,22.815161151401300,27378193381.681500,41348884.522538500
516.0,49.11683487892150,1.7919108267711000,22.91446070039770,27497352840.477300,60292442.52137120
519.0,49.55016779899600,1.8077199470654400,23.116623364008100,27739948036.80980,91056476.03206440
522.0,50.09272646903990,1.8275139088996400,23.36974308055810,28043691696.66970,82254431.13889690
525.0,50.431724071502700,1.839881429640740,23.527895519702600,28233474623.64310,56797683.374043800
528.0,50.701451778411900,1.8497218030988900,23.65373149742830,28384477796.91390,50475785.82816700
531.0,50.972694873809800,1.8596174618995600,23.780274448843400,28536329338.612100,64536353.52420930
534.0,51.393115758895900,1.8749555173268600,23.97641326504930,28771695918.059200,71541354.94308850
537.0,51.739434480667100,1.887590131682310,24.137981223558900,28965577468.270700,70445768.18301960
540.0,52.148113489151,1.902499812686420,24.328642105964400,29194370527.157300,74554535.53690210
543.0,52.53846764564510,1.9167409550772300,24.5107539012434,29412904681.492100,82680439.51379460
